STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,LITERARE RATE,TOTAL POPULATION
TRIPURA,2011,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803,87.22,"19,78,502"
UTTAR PRADESH,2011,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135,67.68,"14,58,545"
UTTARAKHAND,2011,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774,78.82,"13,83,727"
WEST BENGAL,2011,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197,76.26,"12,47,953"
A & N ISLANDS,2011,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,793,86.63,"10,97,206"
CHANDIGARH,2011,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,3542,86.05,"10,55,450"
D & N HAVELI,2011,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,76.24,"6,10,577"
DAMAN & DIU,2011,6,1,0,1,0,1,3,2,1,4,0,6,31,47,33,14,19,3,10,2,0,11,0,0,0,2,0,43,35,224,87.1,"3,80,581"
DELHI UT,2011,543,386,71,572,0,572,3767,2085,1682,33,25,562,1419,22899,14668,8231,50,337,2590,44,42,1946,142,657,162,1575,0,1168,14363,53353,86.21,"3,43,709"
LAKSHADWEEP,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44,91.85,"2,43,247"
PUDUCHERRY,2011,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362,85.85,"64,473"
